ï»¿Countries;Latitude;Longitude;Players;;;;;;,,
Serbia;44,1534121;20,55144;Novak Djokovic;Miomir Kecmanovic;Dusan Lajovic;1;1;1;1
Spain;39,3260685;-4,8379791;Carlos Alcaraz;Rafael Nadal;Pablo Carreno Busta;Roberto Bautista Agut;Alejandro Davidovich Fokina;Bernabe Zapata Miralles;1
Russia;64,6863136;97,7453061;Daniil Medvedev;Andrey Rublev;Karen Khachanov;1;1;1;1
Norway;61,1529386;8,7876653;Casper Ruud;1;1;1;1;1;1
Greece;38,9953683;21,9877132;Stefanos Tsitsipas;1;1;1;1;1;1
Great Britain;54,3153615;-1,9180235;Cameron Norrie;Daniel Evans;Andy Murray;1;1;1;1
Denmark;55,670249;10,3333283;Holger Rune;1;1;1;1;1;1
Italy;42,6384261;12,674297;Jannik Sinner;Lorenzo Musetti;Matteo Berrettini;Lorenzo Sonego;1;1;1
United States of America;39,7837304;-100,445882;Taylor Fritz;Frances Tiafoe;Tommy Paul;Sebastian Korda;Ben Shelton;Maxime Cressy;Brandon Nakashima
Canada;61,0666922;-107,991707;Felix Auger Aliassime;Denis Shapovalov;1;1;1;1;1
Poland;52,215933;19,13442;Hubert Hurkacz;1;1;1;1;1;1
Croatia;45,3658443;15,6575209;Borna Coric;Marin Cilic;1;1;1;1;1
Australia;-24,7761086;134,755;Alex De Minaur;Nick Kyrgios;1;1;1;1;1
Germany;51,1638175;10,4478313;Alexander Zverev;Jan Lennard Struff;1;1;1;1;1
Netherlands;52,2476498;5,5412468;Botic Van De Zandschulp;Tallon Griekspoor;1;1;1;1;1
Argentina;-34,9964963;-64,9672817;Francisco Cerundolo;Sebastian Baez;1;1;1;1;1
Japan;36,5748441;139,2394179;Yoshihito Nishioka;1;1;1;1;1;1
Bulgaria;42,6073975;25,4856617;Grigor Dimitrov;1;1;1;1;1;1
Czechia;49,7439047;15,3381061;Jiri Lehecka;1;1;1;1;1;1
Finland;63,2467777;25,9209164;Emil Ruusuvuori;1;1;1;1;1;1
France;46,603354;1,8883335;Richard Gasquet;Adrian Mannarino;Ugo Humbert;1;1;1;1
Kazakhstan;48,1012954;66,7780818;Alexander Bublik;1;1;1;1;1;1
