ï»¿Rk;Player;M;M W-L;M W%;SPW;SPW-InP;Aces;Ace%;DFs;DF%;DF/2s;1stIn;1st%;2nd%;2%-InP;Hld%;Pts/SG;PtsL/SG,,,,,,,,,,,
1;Novak DjokovicÂ [SRB];53;47-6;8,87;7,17;7,13;349;0,9;116;0,3;0,88;6,57;7,92;5,74;6,29;8,99;59;17
2;Carlos AlcarazÂ [ESP];70;58-12;8,29;6,62;6,65;265;0,5;156;0,29;0,87;6,65;7,14;5,59;6,12;8,47;62;21
3;Daniil MedvedevÂ [RUS];81;62-19;7,65;6,66;6,63;604;1,05;277;0,48;1,35;6,44;7,5;5,14;5,94;8,56;64;21
4;Casper RuudÂ [NOR];63;41-22;6,51;6,72;6,66;377;0,72;138;0,26;0,75;6,53;7,34;5,56;6,01;8,41;62;20
5;Stefanos TsitsipasÂ [GRE];71;51-20;7,18;6,91;6,79;539;0,98;154;0,28;0,79;6,46;7,69;5,5;5,97;8,76;61;19
6;Andrey RublevÂ [RUS];72;49-23;6,81;6,63;6,43;565;1,01;137;0,24;0,63;6,15;7,6;5,09;5,43;8,44;62;21
7;Holger RuneÂ [DEN];76;52-24;6,84;6,64;6,74;389;0,67;275;0,47;1,3;6,37;7,33;5,43;6,24;8,54;63;21
8;Jannik SinnerÂ [ITA];65;49-16;7,54;6,66;6,66;360;0,72;178;0,35;0,83;5,72;7,49;5,55;6,05;8,44;62;21
9;Taylor FritzÂ [USA];75;52-23;6,93;6,86;6,62;698;1,21;145;0,25;0,65;6,13;7,85;5,3;5,66;8,62;61;19
10;Felix Auger AliassimeÂ [CAN];71;49-22;6,9;6,9;6,72;759;1,51;232;0,46;1,25;6,32;7,96;5,09;5,82;8,85;62;19
11;Karen KhachanovÂ [RUS];63;41-22;6,51;6,63;6,51;461;0,89;150;0,29;0,81;6,41;7,36;5,32;5,79;8,36;63;21
12;Frances TiafoeÂ [USA];65;43-22;6,62;6,69;6,49;579;1,1;151;0,29;0,69;5,83;7,64;5,36;5,76;8,54;63;21
